Timestamp,Router_ID,Interface_Name,Circuit_Provider,Status_Code,Jitter_ms,Packet_Loss_%,Throughput_Mbps,Syslog_Message
2025-12-09 10:19:25,RTR-DAL-01,Gi0/0/2,Backup_LTE,UP_OK,180,3.5,48,Traffic rerouted via tunnel T100.
2025-12-09 10:20:00,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_PROBE,45,15.0,10,Probe packets responding.
2025-12-09 10:20:45,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,RECOVER,30,2.0,200,Primary link stabilizing.
2025-12-09 10:21:20,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,25,0.5,350,BFD Session Up.
2025-12-09 10:21:55,RTR-DAL-01,System,System,INFO,0,0.0,0,Failback to Primary initiated.
2025-12-09 10:22:30,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,15,0.1,450,Normal operation resumed.
2025-12-09 10:23:05,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,455,Route convergence complete.
2025-12-09 10:23:45,RTR-NYC-02,Gi0/0/1,Verizon_MPLS,UP_OK,15,0.0,320,Metrics sync.
2025-12-09 10:24:20,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,13,0.1,460,Link stable.
2025-12-09 10:25:00,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.0,450,End of log block.
2025-12-09 10:25:35,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,455,QoS applied.
2025-12-09 10:26:10,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.1,460,No errors.
2025-12-09 10:26:45,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,13,0.0,450,Link stable.
2025-12-09 10:27:20,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,455,Metrics sync.
2025-12-09 10:28:00,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.1,460,Link stable.
2025-12-09 10:28:35,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,13,0.0,450,QoS normal.
2025-12-09 10:29:10,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,455,Link stable.
2025-12-09 10:29:45,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.1,460,Metrics sync.
2025-12-09 10:30:20,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,13,0.0,450,End of capture.
2025-12-09 10:30:55,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,455,Status OK.
2025-12-09 10:31:30,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.0,450,Status OK.
2025-12-09 10:32:05,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,13,0.1,455,Status OK.
2025-12-09 10:32:40,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,14,0.0,460,Status OK.
2025-12-09 10:33:15,RTR-DAL-01,Gi0/0/1,AT&T_Fiber,UP_OK,12,0.0,450,Status OK.
